names,indexes
XS1327118284.EU,451615
XS1642546581,484633
XS2233228597,2070780
XS2065556453,911373
XS2240504881,2119597
XS2242161904,2119598
XS2249575643,2131564
XS2248577566,2130364
XS2085880529,923436
XS2099349495,927867
XS2104929331,928052
XS1954534621,581335
XS2104313221,927963
XS2158465802,1734795
XS1604405545,483517
XS2004904285,890242
XS2118272389,929596
XS2183933576,1879424
XS1960651641,910804
XS1967593796,910796
XS1982161603,883532
XS2028879026,899232
XS2028880115,900807
XS2038610445,910793
XS2114337798,928725
XS2125163688,931707
XS2143253651,1650109
XS2143253495,1667865
XS2181436796,1823065
XS2191043913,1912684
XS2194483769,1920784
XS2211859439,2005959
XS2212035690,2008078
XS2191173538,1910353
XS2198210424,1944288
XS2015214757,897869
XS2128490906,932141
XS2143149834,1705540
XS2020622887,898972
XS2028879703,899233
XS2198400470,1948009
XS2212032911,2005960
XS2028880461,899314
XS2210719485,1997985
XS2038593419,904220
XS2230258035,2058143
XS2038595034,904221
XS2170362839,1822103
XS2049809341,910350
XS2185963803,1894583
XS2184850811,1879425
XS2068071211,911983
XS2208853999,1991527
XS1937694625,578649
XS1943597994,578648
XS2224524491,2039100
XS2227340028,2055160
XS2251359084,2152360
XS2057952439,911146
XS2058684619,911145
XS2072913317,917229
XS2072914125,917228
XS2072913663,918241
XS2079093949,919451
XS2085844053,924606
XS2085844640,924545
XS2088720524,925222
XS2091664370,925342
XS2091667043,925454
XS2091668447,925343
XS2091672803,925455
XS2093710494,925856
XS2213664092,2011456
XS2213663797,2011457
XS2225424303,2052024
XS2237422972,2077396
XS2244322322,2127228
XS1917700483,502394
XS1654213294,485342
XS1894115705,501971
XS1859436401,497606
XS2072916336,916653
XS2045847295,909623
XS2123084639,930044
XS2206912847,1969682
XS2139835636,1648754
XS2242762651,2112232
XS2252527424,2158432
XS2147899228,1706356
XS2200171762,1948063
XS2228213471,2058142
XS2243038663,2129230
XS2252533075,2153954
BEGY,304
BEGYG,13812
BEGYP,498
BEGYPG,16040
BEL0223,925841
BEL0627,922934
BELU,485200
BFYT,932090
BENR,20843
BENRG,20852
BENRP,20844
BENRPG,20901
BEFB,455233
BEFB.IND,455234
BGNCB,498824
BIDU-RM,2139233
BILL,1948292
XS1379311761,476134
BISV,147
BISVG,15901
BISVP,148
BISVPG,15860
BJRI,579948
BJRI,874262
BJ,2190385
BJ,2190523
BKTRUB000TOM,182428
BDTX,1948291
BLGR,16435
BLGRG,16314
BLGRP,16460
BLGRPG,16313
BLNG,17300
BLNGG,17302
XS1634369067,2139250
XS1634369224,2139251
XS1760804184,2152358
BLRS,16436
BLRSG,16305
BLRSP,16470
BLRSPG,16304
BLSB,16474
BLSBG,16501
BLSBP,16475
BLSBPG,16502
BMCH,913452
BMCH,913835
BMY-RM,2139235
BMW,950150
BNGR,16400
BNGRG,16311
BNGRP,16401
BNGRPG,16310
BNP,950154
BNSB,16659
BNSBG,16353
BNSBP,16660
BNSBPG,16509
BOKF,1808108
BOKF,1809949
BR,22460
BRF9,20933
BRF0,22656
BRF1,74465
BRF2,81557
BRF3,83179
BRF4,181471
BRF5,398019
BRF6,434651
BRF7,457141
BRF7BRG7,467004
BRF8,471348
BRF8BRG8,490166
BRF9,491207
BRF9BRG9,501981
BRF0,517639
BRF0BRG0,923336
BRF1,926134
BRF1BRG1,2188790
BRV9,22524
BRV0,66697
BRV1,81083
BRV2,82837
BRV3,175885
BRV4,388425
BRV5,420634
BRV6,454403
BRV6BRX6,459276
BRV7,465380
BRV7BRX7,487433
BRV8,487711
BRV8BRX8,497420
BRV9,498453
BRV9BRX9,906369
BRV0,910170
BRV0BRX0,2035583
BRV1,2073219
SPFB.BR-11.08,20872
BRX9,22610
BRX0,66902
BRX1,81231
BRX2,82880
BRX3,179997
BRX4,388632
BRX5,434652
BRX6,455067
BRX6BRZ6,460883
BRX7,465379
BRX7BRZ7,488446
BRX8,489073
BRX8BRZ8,498516
BRX9,495455
BRX9BRZ9,910579
BRX0,496377
BRX0BRZ0,2085944
BRX1,2130381
BRZ8,20873
BRZ9,22611
BRZ0,74374
BRZ1,80323
BRZ2,82961
BRZ3,181322
BRZ4,390027
BRZ5,434650
BRZ6,456118
BRZ6BRF7,464554
BRZ7,466816
BRZ7BRF8,489218
BRZ8,490081
BRZ8BRF9,499781
BRZ9,501639
BRZ9BRF0,916523
BRZ0,922826
BRZ0BRF1,2137547
BRZ1,2179450
BRG9,20984
BRG0,22694
BRG1,74555
BRG2,81654
BRG3,152336
BRG4,181661
BRG5,398371
BRG6,436665
BRG7,458056
BRG7BRH7,471429
BRG8,472579
BRG8BRH8,491276
BRG9,491737
BRG9BRH9,536524
BRG0,571771
BRG0BRH0,926192
BRG1,927870
BRH9,21076
BRH0,22770
BRH1,74641
BRH2,81924
BRH3,152472
BRH4,181922
BRH5,398532
BRH6,449064
BRH7,460198
BRH7BRJ7,472785
BRH8,473974
BRH8BRJ8,491933
BRH9,492407
BRH9BRJ9,573243
BRH0,578913
BRH0BRJ0,928343
BRH1,929803
BRJ9,21111
BRJ0,22824
BRJ1,74765
BRJ2,82079
BRJ3,152611
BRJ4,182479
BRJ5,407291
BRJ6,450411
BRJ7,462470
BRJ7BRK7,474084
BRJ8,475511
BRJ8BRK8,492688
BRJ9,493770
BRJ9BRK9,581865
BRJ0,875177
BRJ0BRK0,931650
BRJ1,1648768
BRK9,21153
BRK0,22866
BRK1,75120
BRK2,82213
BRK3,152755
BRK4,384130
BRK5,408181
BRK6,451602
BRK7,465084
BRK7BRM7,475729
BRK8,476796
BRK8BRM8,493872
BRK9,494902
BRK9BRM9,876251
BRK0,496378
BRK0BRM0,1671835
BRK1,1756016
BRM9,21178
BRM0,35179
BRM1,80287
BRM2,82321
BRM3,152829
BRM4,385380
BRM5,409186
BRM6,453343
BRM7,465384
BRM7BRN7,477057
BRM8,478823
BRM8BRN8,494922
BRM9,495487
BRM9BRN9,883780
BRM0,888739
BRM0BRN0,1763608
BRM1,1822162
BRN9,21486
BRN0,35233
BRN1,80707
BRN2,82475
BRN3,152944
BRN4,386067
BRN5,410572
BRN6,453517
BRN7,465383
BRN7BRQ7,481113
BRN8,483886
BRN8BRQ8,495559
BRN9,496379
BRN9BRQ9,889961
BRN0,897964
BRN0BRQ0,1822320
BRN1,1912695
BRQ9,21765
BRQ0,35290
BRQ1,80857
BRQ2,82602
BRQ3,175613
BRQ4,386453
BRQ5,414359
BRQ6,453872
BRQ7,465382
BRQ7BRU7,484000
BRQ8,484958
BRQ8BRU8,496424
BRQ9,496952
BRQ9BRU9,898229
BRQ0,901187
BRQ0BRU0,1927673
BRQ1,1977335
BRU9,22457
BRU0,36254
BRU1,80979
BRU2,82729
BRU3,175789
BRU4,388328
BRU5,419442
BRU6,453908
BRU6BRV6,457359
BRU7,465381
BRU7BRV7,485195
BRU8,487434
BRU8BRV8,497036
BRU9,497303
BRU9BRV9,901422
BRU0,906238
BRU0BRV0,1996825
BRU1,2026650
BREN,16967
BRENP,16981
BRLCB,498825
BRZL,15010
BRZLG,15701
SENSEX,19592
BSPB,19695
BSPBG,81693
BSPBP,22811
BSPBPG,81714
BTCEUR,484425
BTCGBP,484424
BTCUSD,484429
BUSB,17990
BUSBG,18180
BWXT,1808111
BWXT,1809952
RTS.BYCM,151
RTS.BYCMP,153
BYNCB,498823
BYNRUB_TOD,456494
BYNRUB_TOM,456495
BYNRUBTODTOM,456493
BYRRUB_TOD,399721
BYR_RUB__TOM,182438
BYRRUB_TOM,399722
BYRRUBTODTOM,399720
BMI,578948
BMI,874268
BIDU,436141
BIDU,20574
BKR,910938
BKR,911979
BHI,465421
BHI.IND,465779
BHGE,484122
BHGE,874257
BCPC,913685
BCPC,913832
BLL,465419
BLL,874267
BOY,951958
BSD2,947885
BAND,891410
BAND,890629
BAC,18011
BAC,419880
BOH,1808107
BOH,1809948
BK,874263
BKU,2190386
BKU,2190524
$DJUSBK,18992
BZUN,888485
BZUN,888647
BBSI,581051
BBSI,874248
$DJUSBM,18975
BAX,465428
BAX,874244
BAYN,948288
BAYN@DE,2008877
BMW@DE,1997986
BMW,496519
BECN,890430
BECN,891411
BDX,465423
BDX,874253
BBBY,465427
BBBY,874245
BEI,951803
BDC,874252
BDC,579393
BFYT,932059
BRK B,465410
BRK A,901436
BERY,579935
BERY,874255
BBY,489018
BBY,465425
BYND,913092
BYND,913838
BIG,571677
BIG,874259
BH,876284
BH,875610
BILI,888450
BILI,888611
BILL,1948139
BIO,874261
BIO,571606
TECH,1810011
TECH,1808170
BMRN,901781
BMRN,903845
BEAT,902010
BEAT,903843
BTAI,1948140
BTAI,1948293
BIIB-RM,2139234
BIIB,461128
BIIB,874260
BTCEUR,499050
BTCUSD,499054
BCHBTC,499061
BCHEUR,499060
BCHUSD,499059
BDTX,1948138
BKI,875977
BKI,876286
BL,912414
BL,913833
BLK,461127
BLK,874265
BLKB,571023
BLKB,874266
BLMN,2190387
BLMN,2190525
BPMC,901927
BPMC,903846
BA-RM,2028080
BA,18010
BBG00FB4Y7F6,2158475
BBG00FB4Y7F6,2158476
BBG00FB4Y7F6,2158477
BKNG,492651
BKNG,874264
BOOT,912922
BOOT,913837
BAH,874243
BAH,571398
BWA,465418
BWA,874274
SAM,874935
BXP,465417
BXP,874275
BSX,461125
BSX,874271
EPAY,876043
EPAY,876304
BVSP,1097
BOX,2190526
BOX,2190388
BRC,1809950
BRC,1808109
BRDOW,19494
BZ,19473
Brent.10.Apr,19443
